hidden_dims,dropout,lr,batch_size,mae,rmse
"[128, 64]",0.3,0.01,64,0.0755021721124649,0.08365940274406304
"[128, 64]",0.1,0.01,128,0.07236604392528534,0.08381000981660293
"[512, 256, 128]",0.2,0.005,64,0.07173720747232437,0.08400562760452666
"[128, 64]",0.2,0.005,128,0.06857205927371979,0.08424088760401839
"[1024, 512, 256]",0.4,0.005,32,0.06931363791227341,0.08424893283787167
"[512, 256, 128]",0.4,0.01,32,0.0782882571220398,0.0842998009484134
"[1024, 512, 256]",0.1,0.001,32,0.057638831436634064,0.08435954254781665
"[512, 256]",0.2,0.005,64,0.06919831037521362,0.08459954021019053
"[512, 256]",0.2,0.005,32,0.06975965201854706,0.0848793262638253
"[1024, 512, 256]",0.3,0.005,16,0.07101379334926605,0.08533248011531458
"[512, 256, 128]",0.4,0.005,64,0.06560982018709183,0.08587175260085524
"[256, 128, 64]",0.4,0.005,16,0.07801602780818939,0.08597980346706528
"[128, 64]",0.1,0.005,64,0.07630815356969833,0.08600883611710469
"[128, 64]",0.4,0.005,16,0.0756872296333313,0.08615203111030136
"[512, 256, 128, 64]",0.1,0.0005,16,0.07286649942398071,0.08622088632878482
"[64, 32]",0.1,0.005,32,0.06675594300031662,0.08647983821696067
"[512, 256, 128, 64]",0.4,0.005,128,0.064524807035923,0.08688735283619092
"[512, 256, 128, 64]",0.1,0.005,128,0.05966478958725929,0.08768412119306185
"[256, 128, 64]",0.4,0.005,64,0.07661191374063492,0.08776771109948871
"[1024, 512, 256]",0.4,0.001,16,0.06400424987077713,0.08850173949866462
"[512, 256, 128, 64]",0.1,0.001,16,0.0676451250910759,0.08928612587612515
"[1024, 512, 256]",0.3,0.001,64,0.06887367367744446,0.09052468453362592
"[512, 256]",0.2,0.005,128,0.07515421509742737,0.09061666955971698
"[1024, 512, 256]",0.1,0.01,16,0.07706989347934723,0.09063387264193641
"[512, 256]",0.4,0.005,16,0.08454766869544983,0.09066979949333522
"[512, 256, 128]",0.1,0.0005,32,0.06740795075893402,0.09076927145424868
"[1024, 512, 256]",0.3,0.001,16,0.07632705569267273,0.09144568733682767
"[512, 256, 128, 64]",0.1,0.01,64,0.060719944536685944,0.09150246320826304
"[512, 256, 128, 64]",0.3,0.01,128,0.06810616701841354,0.09178605421693412
"[128, 64, 32]",0.2,0.005,64,0.07478722929954529,0.09205609104537216
"[256, 128, 64]",0.1,0.005,128,0.07022301852703094,0.09209041635733745
"[512, 256, 128]",0.2,0.005,128,0.08094889670610428,0.09230078711161174
"[512, 256, 128]",0.3,0.01,128,0.0768490806221962,0.09240621871096275
"[512, 256, 128]",0.2,0.001,32,0.08143730461597443,0.09251778664372456
"[128, 64, 32]",0.2,0.005,128,0.07192511111497879,0.09266658451928013
"[1024, 512, 256]",0.2,0.005,16,0.080634206533432,0.0926765538335178
"[1024, 512, 256]",0.1,0.005,128,0.06549128890037537,0.09299111177478771
"[512, 256]",0.4,0.005,64,0.0792701244354248,0.0930545963507571
"[512, 256]",0.1,0.0005,16,0.07815564423799515,0.0934752471455074
"[64, 32]",0.2,0.005,16,0.08360842615365982,0.09349481801313564
