G,AB,H,HR,BB,SO,SB,2B,3B,OPS,OBP,SLG,wOBA,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,HR/FB,wOBA,wRC,wRC+,WAR,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,Zone%,F-Strike%,OPS_target
152,538,140,17,75,124,38,23,0,0.749,0.351,0.398,0.33,0.26,0.351,0.398,0.749,0.138,0.306,0.12,0.198,0.6,0.105,0.33,82,110,4.2,0.20600000000000002,0.405,0.38799999999999996,0.45,0.342,0.20800000000000002,0.182,0.55,0.26899999999999996,86.2,13.6,0.042,0.262,0.23,0.5720000000000001,0.385,0.763,0.882,0.843,0.06,0.455,0.5770000000000001,0.749
151,585,164,15,39,100,31,32,2,0.747,0.329,0.419,0.323,0.28,0.329,0.419,0.747,0.138,0.312,0.061,0.156,0.39,0.094,0.323,80,101,4.2,0.209,0.46399999999999997,0.327,0.33,0.348,0.322,0.111,0.585,0.304,88.1,10.2,0.047,0.35200000000000004,0.32299999999999995,0.589,0.445,0.8029999999999999,0.907,0.866,0.06,0.457,0.602,0.747
148,596,167,33,46,107,13,30,5,0.849,0.336,0.513,0.358,0.28,0.336,0.513,0.849,0.233,0.289,0.07,0.162,0.43,0.156,0.358,102,125,4.1,0.19699999999999998,0.37799999999999995,0.425,0.545,0.302,0.153,0.115,0.519,0.366,88.7,16.5,0.08199999999999999,0.389,0.38799999999999996,0.795,0.546,0.6970000000000001,0.9059999999999999,0.815,0.1,0.38799999999999996,0.568,0.849
141,575,148,25,53,141,29,33,1,0.77,0.322,0.449,0.332,0.257,0.322,0.449,0.77,0.191,0.299,0.083,0.222,0.38,0.17,0.332,84,112,4.1,0.192,0.47100000000000003,0.336,0.436,0.39,0.174,0.12300000000000001,0.47,0.406,91.9,11.0,0.11,0.489,0.35700000000000004,0.8170000000000001,0.54,0.583,0.8029999999999999,0.716,0.153,0.39899999999999997,0.633,0.77
151,483,120,23,68,181,16,16,3,0.79,0.353,0.437,0.344,0.248,0.353,0.437,0.79,0.188,0.343,0.12,0.319,0.38,0.184,0.344,81,118,4.0,0.214,0.375,0.41100000000000003,0.49,0.29100000000000004,0.21899999999999997,0.17,0.539,0.29100000000000004,87.9,15.7,0.111,0.395,0.281,0.7170000000000001,0.45899999999999996,0.456,0.784,0.6659999999999999,0.153,0.409,0.575,0.79
157,582,150,33,62,127,11,36,2,0.83,0.333,0.497,0.351,0.258,0.333,0.497,0.83,0.239,0.272,0.094,0.192,0.49,0.159,0.351,98,119,3.9,0.168,0.382,0.449,0.428,0.33299999999999996,0.24,0.19899999999999998,0.47100000000000003,0.33,88.0,15.8,0.11199999999999999,0.401,0.304,0.74,0.485,0.586,0.852,0.755,0.11900000000000001,0.41600000000000004,0.602,0.83
138,488,136,18,47,90,27,22,8,0.819,0.352,0.467,0.353,0.279,0.352,0.467,0.819,0.189,0.308,0.085,0.162,0.52,0.114,0.353,84,115,3.9,0.196,0.385,0.419,0.445,0.335,0.22,0.156,0.594,0.249,86.7,16.1,0.032,0.276,0.27699999999999997,0.581,0.41200000000000003,0.715,0.905,0.8340000000000001,0.068,0.445,0.606,0.819
135,571,175,20,27,115,5,30,3,0.814,0.339,0.475,0.349,0.306,0.339,0.475,0.814,0.168,0.355,0.045,0.191,0.23,0.165,0.349,89,124,3.9,0.27399999999999997,0.461,0.265,0.27,0.325,0.406,0.136,0.504,0.36,90.2,6.1,0.096,0.449,0.408,0.784,0.5660000000000001,0.6940000000000001,0.907,0.818,0.10300000000000001,0.42,0.632,0.814
126,464,121,19,63,89,3,21,2,0.797,0.359,0.438,0.345,0.261,0.359,0.438,0.797,0.177,0.277,0.114,0.161,0.71,0.11199999999999999,0.345,80,118,3.9,0.18899999999999997,0.37200000000000005,0.439,0.377,0.344,0.27899999999999997,0.142,0.501,0.35700000000000004,89.3,15.6,0.067,0.413,0.284,0.7020000000000001,0.457,0.7709999999999999,0.861,0.828,0.078,0.415,0.5870000000000001,0.797
144,550,153,19,78,140,28,34,1,0.818,0.37,0.447,0.353,0.278,0.37,0.447,0.818,0.169,0.342,0.12300000000000001,0.222,0.56,0.20199999999999999,0.353,95,122,3.8,0.198,0.573,0.22899999999999998,0.353,0.35,0.297,0.146,0.462,0.392,91.7,3.5,0.092,0.499,0.28,0.703,0.45,0.597,0.853,0.758,0.109,0.402,0.578,0.818
